Day,Campaign,Impr.,Clicks,CTR,Cost,Conversions,Conv. value
2026/07/06,Lumiere-Serum-PMax,200055,2807,1.40,2407000,94,7699000
2026/07/07,Lumiere-Serum-PMax,200381,2841,1.42,2432000,100,8474000
2026/07/08,Lumiere-Serum-PMax,192824,2591,1.34,2207000,89,7963000
2026/07/09,Lumiere-Serum-PMax,199422,2715,1.36,2332000,92,8082000
2026/07/10,Lumiere-Serum-PMax,197149,2629,1.33,2257000,84,7293000
2026/07/11,Lumiere-Serum-PMax,196464,2675,1.36,2348000,90,8079000
2026/07/12,Lumiere-Serum-PMax,198626,2707,1.36,2350000,87,7590000
2026/07/06,Lumiere-Ampoule-PMax,117453,1531,1.30,1377000,48,4922000
2026/07/07,Lumiere-Ampoule-PMax,118113,1550,1.31,1448000,46,4829000
2026/07/08,Lumiere-Ampoule-PMax,115839,1475,1.27,1339000,46,4663000
2026/07/09,Lumiere-Ampoule-PMax,122719,1510,1.23,1373000,47,4933000
2026/07/10,Lumiere-Ampoule-PMax,114911,1445,1.26,1340000,41,4199000
2026/07/11,Lumiere-Ampoule-PMax,117465,1403,1.20,1327000,38,3695000
2026/07/12,Lumiere-Ampoule-PMax,117862,1449,1.23,1384000,42,4353000
2026/07/06,Lumiere-Brand-Search,22966,1810,7.88,576000,169,14942000
2026/07/07,Lumiere-Brand-Search,23888,1921,8.05,598000,168,16118000
2026/07/08,Lumiere-Brand-Search,23237,1860,8.01,582000,164,15361000
2026/07/09,Lumiere-Brand-Search,22624,1784,7.89,574000,156,14980000
2026/07/10,Lumiere-Brand-Search,22669,1778,7.85,575000,161,14559000
2026/07/11,Lumiere-Brand-Search,23677,1778,7.51,563000,158,14574000
2026/07/12,Lumiere-Brand-Search,22349,1701,7.61,547000,150,13423000
2026/07/06,Lumiere-Cushion-Shopping,64646,1171,1.81,766000,31,1828000
2026/07/07,Lumiere-Cushion-Shopping,61738,1152,1.87,736000,33,1870000
2026/07/08,Lumiere-Cushion-Shopping,61023,1133,1.86,732000,30,1815000
2026/07/09,Lumiere-Cushion-Shopping,65200,1184,1.82,779000,31,1781000
2026/07/10,Lumiere-Cushion-Shopping,63225,1149,1.82,746000,31,1882000
2026/07/11,Lumiere-Cushion-Shopping,60653,1069,1.76,712000,29,1626000
2026/07/12,Lumiere-Cushion-Shopping,64121,1146,1.79,761000,28,1577000
