일자,캠페인,노출수,클릭수,클릭률(%),광고비(VAT별도),전환수,전환매출
2026-07-06,루미에르_세럼_리타겟,180684,2105,1.17,2161000,90,7913000
2026-07-07,루미에르_세럼_리타겟,179137,2051,1.15,2092000,84,7323000
2026-07-08,루미에르_세럼_리타겟,169484,1918,1.13,1974000,74,6509000
2026-07-09,루미에르_세럼_리타겟,170530,1906,1.12,1971000,78,7201000
2026-07-10,루미에르_세럼_리타겟,173022,1880,1.09,1946000,78,6887000
2026-07-11,루미에르_세럼_리타겟,177453,1978,1.11,2069000,76,6434000
2026-07-12,루미에르_세럼_리타겟,166759,1828,1.10,1905000,72,6533000
2026-07-06,루미에르_세럼_신규,132243,1201,0.91,1094000,23,1854000
2026-07-07,루미에르_세럼_신규,127690,1164,0.91,1061000,23,1969000
2026-07-08,루미에르_세럼_신규,126607,1125,0.89,1055000,24,2065000
2026-07-09,루미에르_세럼_신규,130978,1156,0.88,1062000,23,1935000
2026-07-10,루미에르_세럼_신규,132124,1172,0.89,1071000,24,2040000
2026-07-11,루미에르_세럼_신규,130356,1169,0.90,1108000,22,1843000
2026-07-12,루미에르_세럼_신규,131101,1112,0.85,1037000,22,1728000
2026-07-06,루미에르_앰플_리타겟,86508,911,1.05,1001000,33,3582000
2026-07-07,루미에르_앰플_리타겟,90246,969,1.07,1059000,36,3810000
2026-07-08,루미에르_앰플_리타겟,87941,941,1.07,1036000,36,3673000
2026-07-09,루미에르_앰플_리타겟,87034,926,1.06,1002000,35,3630000
2026-07-10,루미에르_앰플_리타겟,83514,871,1.04,956000,32,3302000
2026-07-11,루미에르_앰플_리타겟,85045,891,1.05,965000,30,3111000
2026-07-12,루미에르_앰플_리타겟,83284,830,1.00,925000,28,2981000
2026-07-06,루미에르_브랜드검색,25440,2058,8.09,729000,199,18541000
2026-07-07,루미에르_브랜드검색,26800,2080,7.76,766000,193,18049000
2026-07-08,루미에르_브랜드검색,25490,1914,7.51,691000,179,16301000
2026-07-09,루미에르_브랜드검색,26586,2044,7.69,740000,180,16967000
2026-07-10,루미에르_브랜드검색,25236,1857,7.36,684000,173,16274000
2026-07-11,루미에르_브랜드검색,25264,1859,7.36,692000,157,14332000
2026-07-12,루미에르_브랜드검색,26108,1962,7.52,736000,181,16832000
