Date,Campaign,Objective,Impressions,Clicks,CTR,Amount spent (KRW),Results,Purchase conversion value
2026-07-06,LUMIERE_Serum_Conv,Purchases,242244,2972,1.23,2733000,117,9471000
2026-07-07,LUMIERE_Serum_Conv,Purchases,253530,3079,1.21,2885000,124,10526000
2026-07-08,LUMIERE_Serum_Conv,Purchases,253124,3050,1.21,2900000,115,9918000
2026-07-09,LUMIERE_Serum_Conv,Purchases,241183,2840,1.18,2704000,111,9230000
2026-07-10,LUMIERE_Serum_Conv,Purchases,243292,2880,1.18,2678000,109,9449000
2026-07-11,LUMIERE_Serum_Conv,Purchases,247770,2952,1.19,2768000,117,9404000
2026-07-12,LUMIERE_Serum_Conv,Purchases,247100,2940,1.19,2779000,114,9918000
2026-07-06,LUMIERE_Ampoule_Conv,Purchases,135224,1496,1.11,1453000,50,4954000
2026-07-07,LUMIERE_Ampoule_Conv,Purchases,135651,1546,1.14,1513000,55,5779000
2026-07-08,LUMIERE_Ampoule_Conv,Purchases,134943,1451,1.08,1444000,48,5108000
2026-07-09,LUMIERE_Ampoule_Conv,Purchases,128990,1370,1.06,1389000,45,4661000
2026-07-10,LUMIERE_Ampoule_Conv,Purchases,134709,1434,1.06,1445000,49,4903000
2026-07-11,LUMIERE_Ampoule_Conv,Purchases,134471,1398,1.04,1433000,45,4751000
2026-07-12,LUMIERE_Ampoule_Conv,Purchases,134060,1422,1.06,1429000,47,4738000
2026-07-06,LUMIERE_Cushion_Conv,Purchases,119525,1151,0.96,1036000,29,1666000
2026-07-07,LUMIERE_Cushion_Conv,Purchases,115558,1110,0.96,1000000,27,1586000
2026-07-08,LUMIERE_Cushion_Conv,Purchases,113062,1102,0.98,985000,26,1490000
2026-07-09,LUMIERE_Cushion_Conv,Purchases,120442,1112,0.92,991000,27,1634000
2026-07-10,LUMIERE_Cushion_Conv,Purchases,120739,1128,0.93,1002000,29,1617000
2026-07-11,LUMIERE_Cushion_Conv,Purchases,115737,1049,0.91,938000,25,1392000
2026-07-12,LUMIERE_Cushion_Conv,Purchases,110907,1020,0.92,909000,25,1513000
2026-07-06,LUMIERE_Serum_Traffic,Link clicks,86093,2277,2.65,761000,2277,0
2026-07-07,LUMIERE_Serum_Traffic,Link clicks,89047,2378,2.67,799000,2378,0
2026-07-08,LUMIERE_Serum_Traffic,Link clicks,86322,2298,2.66,794000,2298,0
2026-07-09,LUMIERE_Serum_Traffic,Link clicks,87483,2361,2.70,788000,2361,0
2026-07-10,LUMIERE_Serum_Traffic,Link clicks,83851,2151,2.57,745000,2151,0
2026-07-11,LUMIERE_Serum_Traffic,Link clicks,84141,2147,2.55,732000,2147,0
2026-07-12,LUMIERE_Serum_Traffic,Link clicks,85738,2181,2.54,748000,2181,0
