stat_date,campaign_name,Imp,Clk,CTR(%),Spend,CV,CV Value
20260706,Lumiere_Serum_TT,167483,2559,1.53,1462000,71,5299000
20260707,Lumiere_Serum_TT,157480,2341,1.49,1349000,63,5068000
20260708,Lumiere_Serum_TT,166581,2458,1.48,1405000,66,5045000
20260709,Lumiere_Serum_TT,161323,2315,1.44,1370000,59,4547000
20260710,Lumiere_Serum_TT,166109,2402,1.45,1406000,59,4425000
20260711,Lumiere_Serum_TT,162702,2250,1.38,1339000,57,4489000
20260712,Lumiere_Serum_TT,162026,2280,1.41,1363000,55,4256000
20260706,Lumiere_Ampoule_TT,93782,1284,1.37,794000,28,2811000
20260707,Lumiere_Ampoule_TT,93406,1225,1.31,750000,25,2510000
20260708,Lumiere_Ampoule_TT,92109,1207,1.31,742000,25,2446000
20260709,Lumiere_Ampoule_TT,96512,1225,1.27,761000,27,2537000
20260710,Lumiere_Ampoule_TT,96050,1258,1.31,789000,27,2692000
20260711,Lumiere_Ampoule_TT,93780,1175,1.25,750000,24,2441000
20260712,Lumiere_Ampoule_TT,94640,1212,1.28,750000,25,2362000
20260706,Lumiere_Spark_Test,610,10,1.66,17000,0,0
20260707,Lumiere_Spark_Test,608,9,1.61,15000,0,0
20260708,Lumiere_Spark_Test,611,9,1.63,15000,0,0
20260709,Lumiere_Spark_Test,596,9,1.56,15000,0,0
20260710,Lumiere_Spark_Test,624,10,1.62,17000,0,0
20260711,Lumiere_Spark_Test,582,9,1.59,15000,0,0
20260712,Lumiere_Spark_Test,585,9,1.58,15000,0,0
