날짜,캠페인명,노출,클릭,CTR,소진금액(VAT포함),전환,매출
26.7.13,루미에르 세럼 신규,137437,1340,0.98,1806000,43,3231000
26.7.14,루미에르 세럼 신규,134466,1231,0.92,1678000,37,2890000
26.7.15,루미에르 세럼 신규,133093,1225,0.92,1649000,41,3109000
26.7.16,루미에르 세럼 신규,137087,1229,0.90,1669000,38,2879000
26.7.17,루미에르 세럼 신규,138755,1291,0.93,1777000,41,3134000
26.7.18,루미에르 세럼 신규,138401,1261,0.91,1746000,41,3220000
26.7.19,루미에르 세럼 신규,130841,1137,0.87,1565000,33,2628000
26.7.13,루미에르 앰플 교차,95486,775,0.81,1085000,17,1659000
26.7.14,루미에르 앰플 교차,95291,778,0.82,1057000,16,1646000
26.7.15,루미에르 앰플 교차,93938,759,0.81,1057000,15,1443000
26.7.16,루미에르 앰플 교차,89207,705,0.79,968000,15,1515000
26.7.17,루미에르 앰플 교차,88513,696,0.79,987000,14,1431000
26.7.18,루미에르 앰플 교차,91235,714,0.78,1007000,14,1331000
26.7.19,루미에르 앰플 교차,90817,700,0.77,985000,14,1358000
26.7.13,루미에르 쿠션 신규,71485,539,0.76,698000,9,535000
26.7.14,루미에르 쿠션 신규,72250,516,0.72,670000,9,569000
26.7.15,루미에르 쿠션 신규,70695,523,0.74,672000,9,565000
26.7.16,루미에르 쿠션 신규,69285,488,0.71,636000,7,447000
26.7.17,루미에르 쿠션 신규,66946,459,0.69,591000,7,448000
26.7.18,루미에르 쿠션 신규,70918,491,0.69,632000,7,438000
26.7.19,루미에르 쿠션 신규,65851,439,0.67,569000,7,424000
