광고일자,광고명,노출,유입,유입률(%),광고비(VAT포함),노출당과금,구매,구매금액
2026.07.13,당근_루미에르_세럼_지역타겟,38900,525,1.35,255830,6577,11,579500
2026.07.13,당근_루미에르_크림_동네추천,34002,547,1.61,302650,8901,9,485200
2026.07.14,당근_루미에르_세럼_지역타겟,44550,627,1.41,348290,7818,14,664700
2026.07.14,당근_루미에르_크림_동네추천,27917,411,1.47,199820,7158,6,315800
2026.07.15,당근_루미에르_세럼_지역타겟,45328,630,1.39,316000,6971,14,657500
2026.07.15,당근_루미에르_크림_동네추천,30271,516,1.70,271310,8963,8,478300
2026.07.16,당근_루미에르_세럼_지역타겟,42545,535,1.26,294830,6930,10,486200
2026.07.16,당근_루미에르_크림_동네추천,29861,444,1.49,245660,8227,7,355700
2026.07.17,당근_루미에르_세럼_지역타겟,45633,603,1.32,292510,6410,12,563800
2026.07.17,당근_루미에르_크림_동네추천,31894,503,1.58,273330,8570,7,400600
2026.07.18,당근_루미에르_세럼_지역타겟,45808,655,1.43,358080,7817,13,589400
2026.07.18,당근_루미에르_크림_동네추천,30764,519,1.69,283160,9204,8,458100
2026.07.19,당근_루미에르_세럼_지역타겟,43117,606,1.41,346630,8039,14,678200
2026.07.19,당근_루미에르_크림_동네추천,32472,530,1.63,261180,8043,8,424500
